"","x"
"1","Agalychnis_granulosa"
"2","Aparasphenodon_brunoi"
"3","Aplastodiscus_ehrhardti"
"4","Aplastodiscus_perviridis"
"5","Bokermannohyla_caramaschii"
"6","Bokermannohyla_circumdata"
"7","Bokermannohyla_hylax"
"8","Brachycephalus_ephippium"
"9","Ceratophrys_aurita"
"10","Crossodactylus_caramaschii"
"11","Crossodactylus_gaudichaudii"
"12","Cycloramphus_acangatan"
"13","Cycloramphus_eleutherodactylus"
"14","Dendrophryniscus_berthalutzae"
"15","Dendrophryniscus_brevipollicatus"
"16","Dendrophryniscus_leucomystax"
"17","Dendropsophus_anceps"
"18","Dendropsophus_berthalutzae"
"19","Dendropsophus_bipunctatus"
"20","Dendropsophus_branneri"
"21","Dendropsophus_decipiens"
"22","Dendropsophus_elegans"
"23","Dendropsophus_giesleri"
"24","Dendropsophus_microps"
"25","Dendropsophus_minutus"
"26","Dendropsophus_nahdereri"
"27","Dendropsophus_pseudomeridianus"
"28","Dendropsophus_sanborni"
"29","Dendropsophus_seniculus"
"30","Dendropsophus_werneri"
"31","Elachistocleis_bicolor"
"32","Elachistocleis_cesarii"
"33","Haddadus_binotatus"
"34","Hylodes_meridionalis"
"35","Hypsiboas_albomarginatus"
"36","Hypsiboas_albopunctatus"
"37","Hypsiboas_bischoffi"
"38","Hypsiboas_caingua"
"39","Hypsiboas_crepitans"
"40","Hypsiboas_faber"
"41","Hypsiboas_leptolineatus"
"42","Hypsiboas_pardalis"
"43","Hypsiboas_polytaenius"
"44","Hypsiboas_prasinus"
"45","Hypsiboas_pulchellus"
"46","Hypsiboas_semilineatus"
"47","Ischnocnema_guentheri"
"48","Ischnocnema_henselii"
"49","Ischnocnema_izecksohni"
"50","Ischnocnema_juipoca"
"51","Ischnocnema_parva"
"52","Itapotihyla_langsdorffii"
"53","Leptodactylus_gracilis"
"54","Leptodactylus_jolyi"
"55","Leptodactylus_latrans"
"56","Leptodactylus_mystacinus"
"57","Leptodactylus_natalensis"
"58","Leptodactylus_notoaktites"
"59","Leptodactylus_plaumanni"
"60","Leptodactylus_spixi"
"61","Leptodactylus_troglodytes"
"62","Limnomedusa_macroglossa"
"63","Odontophrynus_americanus"
"64","Odontophrynus_carvalhoi"
"65","Phyllomedusa_ayeaye"
"66","Phyllomedusa_bahiana"
"67","Physalaemus_gracilis"
"68","Physalaemus_lateristriga"
"69","Physalaemus_obtectus"
"70","Physalaemus_olfersii"
"71","Physalaemus_signifer"
"72","Pipa_carvalhoi"
"73","Proceratophrys_bigibbosa"
"74","Proceratophrys_boiei"
"75","Proceratophrys_schirchi"
"76","Pseudis_fusca"
"77","Rhinella_abei"
"78","Rhinella_arenarum"
"79","Rhinella_crucifer"
"80","Rhinella_dorbignyi"
"81","Rhinella_henseli"
"82","Rhinella_hoogmoedi"
"83","Rhinella_icterica"
"84","Rhinella_ornata"
"85","Rhinella_pygmaea"
"86","Scinax_agilis"
"87","Scinax_alter"
"88","Scinax_auratus"
"89","Scinax_berthae"
"90","Scinax_catharinae"
"91","Scinax_cretatus"
"92","Scinax_crospedospilus"
"93","Scinax_curicica"
"94","Scinax_cuspidatus"
"95","Scinax_eurydice"
"96","Scinax_flavoguttatus"
"97","Scinax_fuscovarius"
"98","Scinax_granulatus"
"99","Scinax_hayii"
"100","Scinax_humilis"
"101","Scinax_longilineus"
"102","Scinax_obtriangulatus"
"103","Scinax_pachycrus"
"104","Scinax_perereca"
"105","Scinax_perpusillus"
"106","Scinax_rizibilis"
"107","Scinax_similis"
"108","Scinax_squalirostris"
"109","Scinax_uruguayus"
"110","Scinax_x-signatus"
"111","Sphaenorhynchus_caramaschii"
"112","Sphaenorhynchus_orophilus"
"113","Sphaenorhynchus_planicola"
"114","Sphaenorhynchus_prasinus"
"115","Sphaenorhynchus_surdus"
"116","Stereocyclops_incrassatus"
"117","Thoropa_miliaris"
"118","Trachycephalus_atlas"
"119","Trachycephalus_mesophaeus"
"120","Trachycephalus_nigromaculatus"
"121","Vitreorana_eurygnatha"
"122","Vitreorana_uranoscopa"
"123","Zachaenus_parvulus"
